dt,code,price_open,price_close,price_highest,price_lowest,trade,trade_amount,amplitude,rise,amount_increase_decrease,turnover_rate,stock_code,stock_name
2026-01-05,002131,6.0,6.2,6.2,5.81,18319480.0,11089923416.68,6.91,9.93,0.56,31.32,002131,利欧股份
2025-12-12,002134,22.0,23.91,24.29,21.99,253367.0,597370468.17,10.42,8.29,1.83,10.31,002134,天津普林
2025-12-25,002134,25.52,26.5,27.05,25.31,326839.0,862587910.48,6.82,3.84,0.98,13.3,002134,天津普林
2026-01-05,002135,4.55,4.75,4.94,4.54,360906.0,171579762.32,8.81,4.63,0.21,3.46,002135,东南网架
2025-12-12,002139,13.62,13.83,14.03,13.55,488239.0,676875086.55,3.53,1.69,0.23,4.56,002139,拓邦股份
2025-12-29,002146,1.67,1.73,1.73,1.66,4277312.0,733587160.49,4.46,10.19,0.16,10.94,002146,荣盛发展
2025-12-30,002152,12.87,13.35,13.66,12.87,978094.0,1308952243.26,6.18,4.46,0.57,3.94,002152,广电运通
2025-12-09,002158,23.85,24.49,25.48,23.7,202970.0,501002611.82,7.48,2.94,0.7,3.8,002158,汉钟精机
2025-12-24,002158,24.68,26.09,26.49,24.4,246102.0,629264763.56,8.59,7.19,1.75,4.61,002158,汉钟精机
2025-12-26,002160,5.11,5.43,5.44,5.1,1028486.0,546324748.46,6.68,6.68,0.34,12.96,002160,常铝股份
2026-01-12,002161,7.72,8.12,8.39,7.65,680855.0,547275077.72,9.7,6.42,0.49,9.66,002161,远 望 谷
2026-01-06,002165,7.65,7.94,8.23,7.64,641452.0,508722635.94,7.72,3.93,0.3,8.82,002165,红 宝 丽
2025-12-16,002177,6.62,7.08,7.24,6.6,1099465.0,769410190.57,9.61,6.31,0.42,16.29,002177,御银股份
2025-12-29,002177,7.02,7.77,7.77,6.95,1799926.0,1373134756.86,11.61,10.06,0.71,26.67,002177,御银股份
2026-01-12,002181,10.38,11.09,11.09,10.38,1531504.0,1638225187.94,7.04,10.02,1.01,13.5,002181,粤 传 媒
2026-01-08,002195,9.67,10.38,10.38,9.41,19044419.0,18992990066.58,10.28,9.96,0.94,34.0,002195,岩山科技
2025-12-25,002196,12.41,13.64,13.64,12.41,1318475.0,1758323155.2,9.92,10.0,1.24,27.0,002196,方正电机
2025-12-30,002201,10.4,11.94,12.33,10.1,2053580.0,2317615999.94,19.89,6.51,0.73,34.11,002201,九鼎新材
2025-12-25,002209,16.19,16.64,17.07,16.11,145265.0,243535257.06,5.97,3.48,0.56,9.29,002209,达 意 隆
2025-12-08,002218,4.14,4.19,4.3,4.04,2183722.0,909393372.3,6.16,-0.71,-0.03,15.68,002218,拓日新能
2025-12-24,002225,5.73,6.05,6.1,5.73,672958.0,403558250.19,6.46,5.58,0.32,6.91,002225,濮耐股份
2025-12-16,002232,18.43,18.7,19.29,17.9,206741.0,383955255.58,7.77,4.59,0.82,5.06,002232,启明信息
