code,industry,industry_detail
SZ300584,化学制药,化学制剂
SH688410,医疗器械,医疗设备
SZ002615,家居用品,其他家居用品
SZ002182,小金属,其他小金属
SH600257,养殖业,水产养殖
SH603979,工业金属,铜
SH603387,医疗器械,体外诊断
SH605398,IT服务,IT服务
SZ301004,家居用品,其他家居用品
SH688258,IT服务,IT服务
SZ000524,旅游及酒店,旅游综合
SH688125,自动化设备,工控设备
SH603992,家居用品,其他家居用品
SZ300981,医疗器械,医疗耗材
SH688136,生物制品,其他生物制品
SH605258,元件,印制电路板
SH688059,通用设备,金属制品
SH688234,半导体,半导体材料
SZ300347,医疗服务,医疗研发外包
SZ002135,建筑装饰,专业工程
SH688757,其他社会服务,专业服务
SZ003031,通信设备,通信终端及配件
SZ002824,工业金属,铝
SH688265,医疗服务,医疗研发外包
SZ300779,环境治理,固废治理
SH603009,汽车零部件,底盘与发动机系统
SH688343,IT服务,IT服务
SZ300358,医疗器械,医疗设备
SH688687,生物制品,其他生物制品
SH688479,软件开发,垂直应用软件
SH603259,医疗服务,医疗研发外包
SH688766,半导体,数字芯片设计
SZ000016,白色家电,冰洗
SH601112,建筑材料,玻璃玻纤
SZ002905,影视院线,影视院线
SH605116,化学制药,原料药
SZ300870,其他电源设备,其他电源设备
SH601089,化学制药,化学制剂
SH600176,建筑材料,玻璃玻纤
SH688401,半导体,半导体材料
SZ300480,专用设备,能源及重型设备
SZ300255,化学制药,化学制剂
SZ002984,汽车零部件,轮胎轮毂
SZ300746,IT服务,IT服务
SZ300308,通信设备,通信网络设备及器件
SH603286,汽车零部件,底盘与发动机系统
SZ300725,医疗服务,医疗研发外包
SZ300050,通信服务,通信工程及服务
SZ002575,综合,综合
SH600031,工程机械,工程机械
SH603458,建筑装饰,工程咨询服务
SH688131,医疗服务,医疗研发外包
SZ300533,游戏,游戏
SH603776,汽车服务及其他,其他运输设备
SZ002019,化学制药,化学制剂
SH688273,医疗器械,医疗设备
SH603059,美容护理,个护用品
SH688360,通用设备,其他通用设备
SZ001332,专用设备,能源及重型设备
SH603583,自动化设备,工控设备
SH688137,生物制品,其他生物制品
SH688202,医疗服务,医疗研发外包
SZ000062,其他电子,其他电子
SZ002851,其他电源设备,其他电源设备
SZ002384,元件,印制电路板
SH600222,中药,中药
SH688807,半导体,数字芯片设计
SH603199,旅游及酒店,自然景点
SZ301033,医疗器械,医疗耗材
SH603319,汽车零部件,底盘与发动机系统
SZ301070,通用设备,制冷空调设备
SH688503,光伏设备,光伏辅材
SZ300166,IT服务,IT服务
SZ002272,通用设备,其他通用设备
SH688336,生物制品,其他生物制品
SH605577,文化传媒,出版
SH688498,半导体,分立器件
SH603890,消费电子,消费电子零部件及组装
SZ300158,中药,中药
SH688013,医疗器械,医疗耗材
SH688517,电网设备,输变电设备
SH688075,医疗器械,体外诊断
SZ300143,医疗服务,医院
SH603225,化学纤维,涤纶
SZ301008,白色家电,家电零部件
SH688266,化学制药,化学制剂
SZ002928,机场航运,航空运输
SH688429,光伏设备,光伏电池组件
SZ002273,光学光电子,光学元件
SZ300497,化学制药,原料药
SH605055,纺织制造,印染
SZ301563,其他电子,其他电子
SZ300668,建筑装饰,工程咨询服务
SZ301550,汽车零部件,底盘与发动机系统
SH688031,软件开发,横向通用软件
SZ001267,建筑装饰,装饰园林
SH688133,化学制品,其他化学制品
SZ300857,计算机设备,其他计算机设备
SZ002778,环境治理,水务及水治理
SZ300739,元件,印制电路板
SZ002916,元件,印制电路板
SZ002957,自动化设备,工控设备
SZ300813,专用设备,其他专用设备
SZ300558,化学制药,化学制剂
SH603217,化学制品,其他化学制品
SZ300257,通用设备,其他通用设备
SH688300,非金属材料,非金属材料
SZ300895,通信服务,通信应用增值服务
SH688693,半导体,分立器件
SH688516,光伏设备,光伏加工设备
SH688702,半导体,数字芯片设计
SZ300846,通信服务,通信应用增值服务
SH600211,生物制品,其他生物制品
SZ002897,通信设备,通信网络设备及器件
SH600988,贵金属,贵金属
SH688166,化学制药,原料药
SZ300110,化学制药,化学制剂
SZ300485,生物制品,其他生物制品
SZ301393,生物制品,其他生物制品
SZ301606,消费电子,品牌消费电子
SZ300620,通信设备,通信网络设备及器件
SH688317,医疗器械,体外诊断
SH605589,塑料制品,合成树脂
SZ001215,食品加工制造,预加工食品
SZ300855,金属新材料,其他金属新材料
SZ300931,专用设备,楼宇设备
SH603367,化学制药,化学制剂
SH688601,半导体,模拟芯片设计
SH688393,医疗器械,体外诊断
SZ300658,美容护理,个护用品
